Month_Year,Commodity,Arrivals,Unit,Modal_Price,Market
01-2008,TOMATO,15020,Qunital,333,Kolar
02-2008,TOMATO,27476,Qunital,689,Kolar
03-2008,TOMATO,13885,Qunital,967,Kolar
04-2008,TOMATO,37663,Qunital,1031,Kolar
05-2008,TOMATO,97782,Qunital,481,Kolar
06-2008,TOMATO,240871,Qunital,416,Kolar
07-2008,TOMATO,500740,Qunital,266,Kolar
08-2008,TOMATO,215662,Qunital,459,Kolar
09-2008,TOMATO,62344,Qunital,949,Kolar
10-2008,TOMATO,60385,Qunital,1386,Kolar
11-2008,TOMATO,62435,Qunital,1431,Kolar
12-2008,TOMATO,66650,Qunital,650,Kolar
01-2009,TOMATO,50041,Qunital,394,Kolar
02-2009,TOMATO,48840,Qunital,225,Kolar
03-2009,TOMATO,61636,Qunital,180,Kolar
04-2009,TOMATO,80278,Qunital,352,Kolar
05-2009,TOMATO,73939,Qunital,875,Kolar
06-2009,TOMATO,199790,Qunital,884,Kolar
07-2009,TOMATO,329278,Qunital,727,Kolar
08-2009,TOMATO,278981,Qunital,652,Kolar
09-2009,TOMATO,203060,Qunital,390,Kolar
10-2009,TOMATO,109675,Qunital,456,Kolar
11-2009,TOMATO,135271,Qunital,889,Kolar
12-2009,TOMATO,83980,Qunital,1120,Kolar
01-2010,TOMATO,57335,Qunital,779,Kolar
02-2010,TOMATO,64008,Qunital,356,Kolar
03-2010,TOMATO,74003,Qunital,331,Kolar
04-2010,TOMATO,64872,Qunital,552,Kolar
05-2010,TOMATO,88940,Qunital,1087,Kolar
06-2010,TOMATO,273870,Qunital,1207,Kolar
07-2010,TOMATO,262757,Qunital,903,Kolar
08-2010,TOMATO,221635,Qunital,665,Kolar
09-2010,TOMATO,99231,Qunital,729,Kolar
10-2010,TOMATO,105143,Qunital,516,Kolar
11-2010,TOMATO,86288,Qunital,505,Kolar
12-2010,TOMATO,83003,Qunital,1301,Kolar
01-2011,TOMATO,19694,Qunital,1345,Kolar
02-2011,TOMATO,28747,Qunital,388,Kolar
03-2011,TOMATO,56055,Qunital,272,Kolar
04-2011,TOMATO,48361,Qunital,215,Kolar
05-2011,TOMATO,45153,Qunital,430,Kolar
06-2011,TOMATO,143526,Qunital,478,Kolar
07-2011,TOMATO,302386,Qunital,362,Kolar
08-2011,TOMATO,201384,Qunital,436,Kolar
09-2011,TOMATO,58595,Qunital,572,Kolar
10-2011,TOMATO,60112,Qunital,988,Kolar
11-2011,TOMATO,72424,Qunital,986,Kolar
12-2011,TOMATO,120765,Qunital,365,Kolar
01-2012,TOMATO,77526,Qunital,359,Kolar
02-2012,TOMATO,38540,Qunital,669,Kolar
03-2012,TOMATO,23495,Qunital,1001,Kolar
04-2012,TOMATO,33005,Qunital,931,Kolar
05-2012,TOMATO,87813,Qunital,781,Kolar
06-2012,TOMATO,170816,Qunital,711,Kolar
07-2012,TOMATO,153987,Qunital,1202,Kolar
08-2012,TOMATO,148148,Qunital,832,Kolar
09-2012,TOMATO,82222,Qunital,570,Kolar
10-2012,TOMATO,62061,Qunital,426,Kolar
11-2012,TOMATO,52736,Qunital,661,Kolar
12-2012,TOMATO,30396,Qunital,739,Kolar
01-2013,TOMATO,26845,Qunital,673,Kolar
02-2013,TOMATO,23162,Qunital,524,Kolar
03-2013,TOMATO,20185,Qunital,419,Kolar
04-2013,TOMATO,20242,Qunital,799,Kolar
05-2013,TOMATO,24398,Qunital,1336,Kolar
06-2013,TOMATO,49514,Qunital,1422,Kolar
07-2013,TOMATO,110685,Qunital,1154,Kolar
08-2013,TOMATO,146967,Qunital,698,Kolar
09-2013,TOMATO,60691,Qunital,817,Kolar
10-2013,TOMATO,25144,Qunital,1215,Kolar
11-2013,TOMATO,38629,Qunital,1439,Kolar
12-2013,TOMATO,61565,Qunital,656,Kolar
01-2014,TOMATO,84166,Qunital,251,Kolar
02-2014,TOMATO,27674,Qunital,214,Kolar
03-2014,TOMATO,15642,Qunital,332,Kolar
04-2014,TOMATO,24520,Qunital,464,Kolar
05-2014,TOMATO,51725,Qunital,546,Kolar
06-2014,TOMATO,143705,Qunital,535,Kolar
07-2014,TOMATO,122007,Qunital,2412,Kolar
08-2014,TOMATO,93845,Qunital,2311,Kolar
09-2014,TOMATO,109669,Qunital,1562,Kolar
10-2014,TOMATO,105361,Qunital,673,Kolar
11-2014,TOMATO,59940,Qunital,608,Kolar
12-2014,TOMATO,65428,Qunital,1150,Kolar
01-2015,TOMATO,111412,Qunital,888,Kolar
02-2015,TOMATO,104112,Qunital,622,Kolar
03-2015,TOMATO,54665,Qunital,446,Kolar
04-2015,TOMATO,29245,Qunital,680,Kolar
05-2015,TOMATO,79384,Qunital,1296,Kolar
06-2015,TOMATO,183583,Qunital,1062,Kolar
07-2015,TOMATO,262256,Qunital,1346,Kolar
08-2015,TOMATO,245537,Qunital,955,Kolar
09-2015,TOMATO,149524,Qunital,983,Kolar
10-2015,TOMATO,75458,Qunital,1440,Kolar
11-2015,TOMATO,49633,Qunital,3055,Kolar
12-2015,TOMATO,66877,Qunital,2041,Kolar
01-2016,TOMATO,52005,Qunital,2207,Kolar
02-2016,TOMATO,55242,Qunital,702,Kolar
03-2016,TOMATO,40751,Qunital,548,Kolar
04-2016,TOMATO,49054,Qunital,947,Kolar
